date,Wordle#,wordle
,1,CIGAR
,2,REBUT
,3,SISSY
,4,HUMPH
,5,AWAKE
,6,BLUSH
,7,FOCAL
,8,EVADE
,9,NAVAL
,10,SERVE
,11,HEATH
,12,DWARF
,13,MODEL
,14,KARMA
,15,STINK
,16,GRADE
,17,QUIET
,18,BENCH
,19,ABATE
,20,FEIGN
,21,MAJOR
,22,DEATH
,23,FRESH
,24,CRUST
,25,STOOL
,26,COLON
,27,ABASE
,28,MARRY
,29,REACT
,30,BATTY
,31,PRIDE
,32,FLOSS
,33,HELIX
,34,CROAK
,35,STAFF
,36,PAPER
,37,UNFED
,38,WHELP
,39,TRAWL
,40,OUTDO
,41,ADOBE
,42,CRAZY
,43,SOWER
,44,REPAY
,45,DIGIT
,46,CRATE
,47,CLUCK
,48,SPIKE
,49,MIMIC
,50,POUND
,51,MAXIM
,52,LINEN
,53,UNMET
,54,FLESH
,55,BOOBY
,56,FORTH
,57,FIRST
,58,STAND
,59,BELLY
,60,IVORY
,61,SEEDY
,62,PRINT
,63,YEARN
,64,DRAIN
,65,BRIBE
,66,STOUT
,67,PANEL
,68,CRASS
,69,FLUME
,70,OFFAL
,71,AGREE
,72,ERROR
,73,SWIRL
,74,ARGUE
,75,BLEED
,76,DELTA
,77,FLICK
,78,TOTEM
,79,WOOER
,80,FRONT
,81,SHRUB
,82,PARRY
,83,BIOME
,84,LAPEL
,85,START
,86,GREET
,87,GONER
,88,GOLEM
,89,LUSTY
,90,LOOPY
,91,ROUND
,92,AUDIT
,93,LYING
,94,GAMMA
,95,LABOR
,96,ISLET
,97,CIVIC
,98,FORGE
,99,CORNY
,100,MOULT
,101,BASIC
,102,SALAD
,103,AGATE
,104,SPICY
,105,SPRAY
,106,ESSAY
,107,FJORD
,108,SPEND
,109,KEBAB
,110,GUILD
,111,ABACK
,112,MOTOR
,113,ALONE
,114,HATCH
,115,HYPER
,116,THUMB
,117,DOWRY
,118,OUGHT
,119,BELCH
,120,DUTCH
,121,PILOT
,122,TWEED
,123,COMET
,124,JAUNT
,125,ENEMA
,126,STEED
,127,ABYSS
,128,GROWL
,129,FLING
,130,DOZEN
,131,BOOZY
,132,ERODE
,133,WORLD
,134,GOUGE
,135,CLICK
,136,BRIAR
,137,GREAT
,138,ALTAR
,139,PULPY
,140,BLURT
,141,COAST
,142,DUCHY
,143,GROIN
,144,FIXER
,145,GROUP
,146,ROGUE
,147,BADLY
,148,SMART
,149,PITHY
,150,GAUDY
,151,CHILL
,152,HERON
,153,VODKA
,154,FINER
,155,SURER
,156,RADIO
,157,ROUGE
,158,PERCH
,159,RETCH
,160,WROTE
,161,CLOCK
,162,TILDE
,163,STORE
,164,PROVE
,165,BRING
,166,SOLVE
,167,CHEAT
,168,GRIME
,169,EXULT
,170,USHER
,171,EPOCH
,172,TRIAD
,173,BREAK
,174,RHINO
,175,VIRAL
,176,CONIC
,177,MASSE
,178,SONIC
,179,VITAL
,180,TRACE
,181,USING
,182,PEACH
,183,CHAMP
,184,BATON
,185,BRAKE
,186,PLUCK
,187,CRAZE
,188,GRIPE
,189,WEARY
,190,PICKY
,191,ACUTE
,192,FERRY
,193,ASIDE
,194,TAPIR
,195,TROLL
,196,UNIFY
,197,REBUS
,198,BOOST
,199,TRUSS
,200,SIEGE
05-Jan-22,201, TIGER
06-Jan-22,202, BANAL
07-Jan-22,203, SLUMP
08-Jan-22,204, CRANK
09-Jan-22,205, GORGE
10-Jan-22,206, QUERY
11-Jan-22,207, DRINK
12-Jan-22,208, FAVOR
13-Jan-22,209, ABBEY
14-Jan-22,210, TANGY
15-Jan-22,211, PANIC
16-Jan-22,212, SOLAR
17-Jan-22,213, SHIRE
18-Jan-22,214, PROXY
19-Jan-22,215, POINT
20-Jan-22,216, ROBOT
21-Jan-22,217, PRICK
22-Jan-22,218, WINCE
23-Jan-22,219, CRIMP
24-Jan-22,220, KNOLL
25-Jan-22,221, SUGAR
26-Jan-22,222, WHACK
27-Jan-22,223, MOUNT
28-Jan-22,224, PERKY
29-Jan-22,225, COULD
30-Jan-22,226,WRUNG
31-Jan-22,227,LIGHT
